,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
374,Santa Maria,75,BR,1592518957,69,-29.68,-53.81,75.2,4.7
375,Lewisporte,90,CA,1592518958,93,49.25,-55.05,64.99,5.82
376,Hamilton,20,US,1592518960,78,39.18,-84.53,80.01,3.36
377,Kirishi,0,RU,1592518961,99,59.45,32.02,63.0,4.32
378,Puerto Guzmán,93,CO,1592518962,70,0.97,-76.59,81.5,2.33
379,Olafsvik,99,IS,1592518963,76,64.89,-23.71,48.94,13.65
380,Mount Isa,0,AU,1592518964,72,-20.73,139.5,66.2,5.82
381,Matadi,68,CD,1592518965,85,-5.82,13.45,72.21,3.27
382,Artesia,40,US,1592518967,68,33.87,-118.08,77.0,6.93
383,Tazovsky,0,RU,1592518968,77,67.47,78.7,37.11,11.23
384,Vardø,75,NO,1592518865,65,70.37,31.11,46.4,17.22
385,Kupang,20,ID,1592518970,83,-10.17,123.58,75.2,8.05
386,Usogorsk,91,RU,1592518745,73,63.41,48.69,50.74,5.21
387,Isangel,75,VU,1592518972,69,-19.55,169.27,78.8,13.65
388,Liwale,18,TZ,1592518973,69,-9.77,37.93,65.46,5.93
389,Fredericton,1,CA,1592518975,31,45.95,-66.67,91.4,16.11
390,Baker City,90,US,1592518976,31,44.77,-117.83,75.2,5.82
391,Bluefield,90,US,1592518977,100,37.27,-81.22,68.0,3.18
392,Jinchang,75,CN,1592518978,26,38.5,102.17,71.47,3.76
393,Maroantsetra,100,MG,1592518979,86,-15.43,49.73,70.56,14.99
394,Ormara,13,PK,1592518980,84,25.21,64.64,83.82,7.16
395,Chifeng,46,CN,1592518982,58,42.27,118.96,67.55,4.54
396,Manadhoo,27,MV,1592518983,75,5.77,73.38,83.5,8.19
397,Rio Grande,0,BR,1592518922,96,-32.03,-52.1,61.0,1.01
398,Laas,75,IT,1592518985,87,46.62,10.7,48.2,8.05
399,Laguna,1,US,1592518796,11,38.42,-121.42,96.01,6.93
400,Kajaani,90,FI,1592518987,93,64.23,27.73,57.2,10.29
401,Pervomayskoye,64,RU,1592518988,66,43.92,46.71,67.86,8.68
402,Penzance,100,GB,1592518990,87,50.12,-5.54,59.0,13.87
403,Port Augusta,0,AU,1592518991,50,-32.5,137.77,55.4,17.22
404,Arnedo,69,ES,1592518992,77,42.22,-2.1,66.2,5.82
405,Kalianget,0,ID,1592518993,76,-7.05,113.93,81.16,14.99
406,Keetmanshoop,0,NA,1592518831,36,-26.58,18.13,57.2,8.05
407,Mangla,2,PK,1592518995,11,31.89,72.38,95.67,7.83
408,Bac Lieu,100,VN,1592518997,84,9.29,105.72,81.18,6.87
409,Bom Jesus,0,BR,1592518998,56,-9.07,-44.36,73.8,2.98
410,Ketchikan,90,US,1592518999,100,55.34,-131.65,57.2,32.21
411,Askarovo,20,RU,1592519000,70,53.34,58.51,44.6,6.71
412,Lagoa,0,PT,1592519001,89,39.05,-27.98,64.6,11.21
413,Guerrero Negro,1,MX,1592519002,50,27.98,-114.06,72.7,17.13
414,Rheinbach,0,DE,1592519004,92,50.63,6.95,60.01,4.68
415,Rørvik,0,NO,1592518821,86,64.86,11.24,52.36,14.45
416,Yangi Marg`ilon,41,UZ,1592519006,45,40.43,71.72,68.0,6.93
417,Myitkyina,100,MM,1592519007,97,25.38,97.4,75.36,0.78
418,Bubaque,16,GW,1592519008,84,11.28,-15.83,81.54,15.41
419,Nioki,72,CD,1592518815,49,-2.72,17.68,71.53,1.32
420,Tateyama,75,JP,1592519010,100,34.98,139.87,64.4,4.7
421,Nagua,20,DO,1592519012,74,19.38,-69.85,86.0,17.22
422,Iqaluit,75,CA,1592519013,60,63.75,-68.51,41.0,17.22
423,Byron Bay,75,AU,1592518975,93,-28.65,153.62,59.0,8.05
424,Dvinskoy Bereznik,49,RU,1592519015,60,62.86,42.71,57.13,7.61
425,Zheshart,43,RU,1592519016,77,62.07,49.57,49.1,3.2
426,Yulara,0,AU,1592519017,48,-25.24,130.99,41.0,5.82
427,Cravo Norte,100,CO,1592519018,93,6.3,-70.2,75.45,5.01
428,Martapura,40,ID,1592519020,100,-3.42,114.85,77.0,1.12
429,Port Said,20,EG,1592519021,78,31.26,32.28,75.2,12.75
430,Gurupá,54,BR,1592519022,73,-1.41,-51.64,79.97,3.4
431,Pangody,0,RU,1592519024,77,65.85,74.49,37.33,10.02
432,Strășeni,52,MD,1592519025,82,47.14,28.61,66.2,5.82
433,South Lake Tahoe,1,US,1592518742,25,38.93,-119.98,77.0,8.05
434,Kalininsk,0,RU,1592519027,94,51.5,44.48,62.91,9.73
435,Bengkulu,99,ID,1592519028,89,-3.8,102.27,75.2,4.56
436,Mathbaria,100,BD,1592519029,88,22.29,89.96,81.05,5.28
437,Jishou,96,CN,1592519030,92,28.32,109.72,69.57,0.47
438,Auki,2,SB,1592519032,74,-8.77,160.7,83.08,2.95
439,Igarka,100,RU,1592518863,63,67.47,86.58,44.33,10.67
440,Shinjō,75,JP,1592519034,77,38.76,140.3,69.8,11.41
441,Lufilufi,95,WS,1592519035,94,-13.87,-171.6,75.0,4.0
442,Nassau,40,US,1592519037,73,40.75,-73.58,75.99,6.93
443,Kidal,0,ML,1592519038,10,18.44,1.41,93.47,9.71
444,Yinchuan,97,CN,1592519039,28,38.47,106.27,77.0,4.0
445,San Roque,0,ES,1592519040,64,36.21,-5.38,68.0,17.22
446,Kologriv,0,RU,1592519041,80,58.83,44.32,50.59,4.76
447,Siocon,100,PH,1592519042,81,7.71,122.14,79.36,3.56
448,Tura,100,IN,1592519044,99,25.52,90.22,74.3,4.21
449,Hatillo,4,PR,1592519045,86,18.49,-66.83,82.99,20.11
450,Stephenville,75,US,1592518890,38,32.22,-98.2,93.2,10.29
451,Seoul,90,KR,1592518795,88,37.57,126.98,71.6,5.82
452,Solnechnyy,100,RU,1592519048,93,50.72,136.63,44.71,6.26
453,Bensonville,75,LR,1592519049,94,6.45,-10.61,78.8,5.82
454,Beringovskiy,0,RU,1592519050,51,63.05,179.32,51.31,2.75
455,Stokmarknes,33,NO,1592519052,77,68.56,14.91,48.0,13.0
456,Takaka,100,NZ,1592519053,73,-40.85,172.8,57.0,10.0
457,Balkanabat,0,TM,1592519054,13,39.51,54.37,86.32,17.43
458,Arlit,0,NE,1592519055,10,18.74,7.39,92.79,3.49
459,Santo Antônio do Sudoeste,18,BR,1592519056,94,-26.07,-53.73,65.19,3.65
460,Yatou,76,CN,1592519057,78,37.15,122.38,68.63,5.14
461,Kamen'-na-Obi,92,RU,1592519058,94,53.79,81.34,53.17,8.32
462,Avera,75,US,1592519059,48,33.19,-82.53,84.2,4.7
463,Qaqortoq,75,GL,1592519005,81,60.72,-46.03,44.6,12.75
464,Poum,99,NC,1592519062,76,-20.23,164.02,74.37,14.0
465,Gusau,85,NG,1592519063,71,12.16,6.66,79.74,9.22
466,Nurlat,0,RU,1592519043,84,54.43,50.81,49.28,6.55
467,Svetlaya,97,RU,1592519065,82,46.54,138.33,53.29,5.91
468,Aksu,100,CN,1592519066,25,41.12,80.26,76.12,3.29
469,Puerto Colombia,40,CO,1592519067,66,10.99,-74.95,87.8,6.93
470,Port Macquarie,72,AU,1592519068,98,-31.43,152.92,55.0,2.51
471,Kyren,99,RU,1592519070,77,51.68,102.14,58.41,1.66
472,Husavik,75,IS,1592519071,71,66.04,-17.34,53.6,12.75
473,Disna,49,BY,1592519072,92,55.57,28.2,65.52,6.6
474,Recke,93,DE,1592519073,93,52.38,7.72,62.6,2.24
475,Faanui,100,PF,1592519074,77,-16.48,-151.75,79.9,1.19
476,Foumban,100,CM,1592519075,99,5.73,10.9,64.26,1.79
477,Zhigalovo,0,RU,1592519076,70,54.81,105.16,49.71,3.94
478,Terrace,90,CA,1592518778,93,54.52,-128.6,57.2,12.75
479,Bambanglipuro,21,ID,1592519079,86,-7.95,110.28,77.05,11.12
480,Berlevåg,75,NO,1592519080,87,70.86,29.09,42.8,17.22
481,Tinskoy,83,RU,1592519081,80,56.15,96.92,57.56,4.59
482,Macapá,40,BR,1592519082,100,0.04,-51.07,78.8,3.36
483,Chimbote,6,PE,1592518851,75,-9.09,-78.58,66.11,8.99
484,Blackwater,3,AU,1592519085,81,-23.58,148.88,60.71,11.68
485,Hutang,38,CN,1592519086,98,31.53,119.48,64.0,1.01
486,Yumen,9,CN,1592519087,25,40.28,97.2,66.34,1.83
487,Kloulklubed,75,PW,1592519088,88,7.04,134.26,78.8,4.7
488,Caucaia,75,BR,1592518865,74,-3.74,-38.65,82.4,10.29
489,Salaspils,40,LV,1592519091,88,56.86,24.37,70.0,3.36
490,Merauke,77,ID,1592519092,76,-8.47,140.33,79.16,16.44
491,Inongo,84,CD,1592519093,55,-1.95,18.27,70.45,4.14
492,Borba,97,BR,1592519094,68,-4.39,-59.59,82.87,1.41
493,Gogrial,100,SS,1592519095,87,8.53,28.1,71.71,2.66
494,Aswān,14,EG,1592519096,17,24.09,32.91,86.0,20.8
495,Zhezkazgan,73,KZ,1592519097,74,47.8,67.71,62.74,14.79
496,Itarema,23,BR,1592519098,79,-2.92,-39.92,78.89,11.34
497,Arrondissement de Nevers,41,FR,1592519100,82,46.92,3.33,55.4,4.7
498,Gračac,20,HR,1592519101,88,44.3,15.85,66.99,3.36
499,Libreville,40,GA,1592519102,83,0.39,9.45,78.8,9.17
500,Sur,1,OM,1592519103,70,22.57,59.53,84.11,13.8
501,San Policarpo,94,PH,1592519104,86,12.18,125.51,77.41,4.68
502,Kimbe,3,PG,1592519105,76,-5.55,150.14,80.65,4.29
503,Villa Altagracia,20,DO,1592518871,66,18.67,-70.17,87.8,11.41
504,Orikum,34,AL,1592519108,63,40.33,19.47,71.37,4.97
505,Linjiang,0,CN,1592519109,77,41.81,126.91,62.51,0.74
506,Nador,10,MA,1592519110,53,35.17,-2.93,73.4,8.05
507,Corinth,20,GR,1592519111,53,37.94,22.96,77.0,10.87
508,Mosquera,90,CO,1592519112,93,4.71,-74.23,55.4,8.05
509,Palmdale,1,US,1592519114,9,34.58,-118.12,91.4,4.7
510,Benguela,0,AO,1592519115,76,-12.58,13.41,71.01,3.13
511,Victor Harbor,0,AU,1592519116,51,-35.57,138.62,59.0,3.0
512,Preiļi,47,LV,1592519117,93,56.29,26.72,65.61,5.7
513,Tromsø,75,NO,1592519118,75,69.65,18.96,44.6,16.11
514,Maïné Soroa,46,NE,1592519119,39,13.21,12.02,88.32,6.22
515,Taoudenni,21,ML,1592519121,10,22.68,-3.98,102.7,10.51
516,Zonguldak,22,TR,1592518955,92,41.25,31.83,58.23,4.12
517,Taksimo,92,RU,1592519123,84,56.34,114.88,50.41,4.59
518,San Quintín,0,MX,1592518836,61,30.48,-115.95,66.94,11.59
519,Naranjito,75,EC,1592519125,65,-2.22,-79.48,82.4,4.7
520,Hobyo,82,SO,1592519126,74,5.35,48.53,78.98,26.89
521,Ruidoso,1,US,1592519128,8,33.33,-105.67,84.99,18.34
522,Forssa,0,FI,1592519129,89,60.81,23.62,60.01,1.01
523,Flinders,8,AU,1592519130,91,-34.58,150.86,51.01,1.01
524,Puerto Escondido,90,MX,1592519131,79,15.85,-97.07,86.0,9.17
525,Yerbogachën,92,RU,1592519132,62,61.28,108.01,57.78,1.83
526,Äänekoski,0,FI,1592519133,100,62.69,25.82,57.0,2.24
527,Esperance,40,AU,1592519134,100,-33.87,121.9,46.4,10.29
528,Konstantinovka,100,RU,1592519135,84,49.62,127.98,57.7,3.6
529,Bogotol,96,RU,1592519136,98,56.21,89.53,54.55,9.95
530,Havelock,25,US,1592518988,67,34.88,-76.9,78.01,7.0
531,Abapó,1,BO,1592519139,57,-18.83,-63.47,72.86,2.91
532,Harar,100,ET,1592519140,90,9.31,42.13,58.46,3.8
533,Alofi,40,NU,1592519141,61,-19.06,-169.92,77.0,21.92
534,Kenai,40,US,1592519143,59,60.55,-151.26,60.8,10.29
535,Harrison,1,US,1592519144,48,30.41,-89.04,86.0,9.17
536,Saint-Joseph,75,RE,1592519056,77,-21.37,55.62,69.8,23.04
537,Beloha,3,MG,1592519146,83,-25.17,45.05,63.36,12.82
